"title","latitude","longitude"
"Other",35.948186377096874,-83.940665619526
"Other",35.94815787862609,-83.94062614076206
"Other",35.94815787862609,-83.94062614076206
"Other",35.94777637630324,-83.94200689167151
"Other",35.948171080123586,-83.94169558778772
"Other",35.94832666666667,-83.94109833333331
"Other",38.03786977197792,-84.48325328536748
"Other",38.032584730571166,-84.5008091815603
"Other",38.03253288850005,-84.49995389216068
"Other",38.03296686153676,-84.50453661390068
"Other",38.03301346491839,-84.50457558975043
"Other",38.03301346491839,-84.50457558975043
"Other",38.03263803947534,-84.50497649617913
"Other",37.572252620046555,-84.29071309052807
"Hemlock",37.57230630613637,-84.29050530314845
"Other",37.57226297169697,-84.2907150183658
"White Oak",37.57253211460782,-84.29126294337613
"White Oak",37.57254644766224,-84.29123578600985
"White Oak",37.57254644766224,-84.29123578600985
"Hemlock",37.07692459694769,-82.99711327076237
"Hemlock",37.07692459694769,-82.99711327076237
"Other",35.94818369488786,-83.940610131327
"White Oak",37.07721658054467,-82.99920916565041
"Other",37.07667544487592,-82.99797912135999
"Hemlock",37.07672003660079,-82.99696843147557
"Other",37.07852822266247,-82.99468151301424
"American Chestnut",37.07725228745218,-82.99928133383672
"Other",37.07726498603549,-82.99932869158964
"Hemlock",37.07800745501842,-82.9940722324727
"Other",37.07667544487592,-82.99797912135999
"Other",37.07800745501842,-82.9940722324727
"Hemlock",37.07712718754735,-82.99880415208916
"Other",37.07850173584845,-82.99459308393578
"Hemlock",38.03325842603858,-84.50584771119478
"Other",41.8162137922289,-88.29924219296156
"Other",41.86650148131127,-87.6148634032231
"White Oak",41.8664627150091,-87.61489533827418
"Other",41.8160013109835,-88.29903574668644
"American Chestnut",37.23151547372083,-80.43645123958628
"American Chestnut",37.23150302659462,-80.43641301810781
"American Chestnut",37.23140357531349,-80.4364845995609
"Ash",35.94794807958971,-83.94040226012835
"Ash",35.94774154949556,-83.94008911222586
"Ash",35.9477791842408,-83.94012657933304
"American Chestnut",41.02440196,-73.9093469
"Other",37.95451463669348,-84.50076073415997
"Other",37.95357112776297,-84.50121821843507
"Other",37.95256169516402,-84.50212589472952
"American Chestnut",35.55920505,-83.09627799
"American Chestnut",35.16998215,-83.58167258
"American Chestnut",35.24475148,-83.77378705
"American Chestnut",35.16884545,-83.58087042
